Branch_name,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
BATU BERENDAM,SUBARU,2019,108,0.0401," RM48,001 - RM72,000",58000
KUCHING RH PLAZA,PERODUA,2019,84,0.0414," RM18,001 - RM24,000",69900
KUALA PILAH BRANCH,PERODUA,2019,84,0.0477," RM24,001 - RM48,000",33500
"JLN BESAR,MENGLEMBU,PERAK   ",PROTON,2019,84,0.0463," RM48,001 - RM72,000",30000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,108,0.0414," RM72,001 - RM96,000",72000
KL MAIN (EON BUILDING),VOLKSWAGEN,2018,108,0.0395," RM72,001 - RM96,000",129000
"TAMAN SRI SINAR, SEGAMBUT BRANCH",PROTON,2019,84,0.0407," Above RM120,000    ",101800
KROKOP ,TOYOTA,2019,108,0.0391," RM24,001 - RM48,000",77000
SS2 PJ,NISSAN,2019,108,0.0387," RM96,001 - RM120,000",132000
SUNGAI BULOH,PROTON,2019,84,0.0485," RM72,001 - RM96,000",32000
BANGSAR BRANCH,PERODUA,2019,84,0.0455," RM48,001 - RM72,000",38900
TELUK PULAI BRANCH,PERODUA,2019,84,0.0418," RM72,001 - RM96,000",70000
KL MAIN (EON BUILDING),PROTON,2019,108,0.0479," RM24,001 - RM48,000",36900
BATU PAHAT BRANCH,PROTON,2019,48,0.0468," RM24,001 - RM48,000",30900
TAMAN MIDAH,PERODUA,2019,36,0.0482," Above RM120,000    ",30300
SS2 PJ,PERODUA,2019,84,0.0415," RM48,001 - RM72,000",60000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,84,0.0465, Undisclosed        ,48000
KULAI BRANCH,PROTON,2019,108,0.0463," RM24,001 - RM48,000",39200
KL MAIN (EON BUILDING),PROTON,2019,60,0.0391, Undisclosed        ,90000
PUCHONG JAYA,PROTON,2019,108,0.0479," RM24,001 - RM48,000",36500
TAMAN SRI TEBRAU,HONDA,2019,108,0.0403," RM48,001 - RM72,000",77000
"JLN KAMPONG BARU, SUNGAI PETANI BRANCH",PERODUA,2019,60,0.0421," RM24,001 - RM48,000",40000
PUCHONG JAYA,MITSUBISHI,2019,108,0.039," RM24,001 - RM48,000",129900
"PUSAT DAGANGAN BAKRI,MUAR",MITSUBISHI,2018,108,0.0408," RM24,001 - RM48,000",65000
"MENJALARA, KUALA LUMPUR",PERODUA,2018,84,0.0488," RM24,001 - RM48,000",36000
SS2 PJ,MERCEDES BENZ,2019,60,0.0381," Above RM120,000    ",190000
PANDAN PERDANA BRANCH,PERODUA,2019,60,0.0406," RM96,001 - RM120,000",70000
SEREMBAN 2,HONDA,2019,108,0.0403, Undisclosed        ,75000
SARATOK BRANCH,TOYOTA,2019,108,0.0405," RM24,001 - RM48,000",60900
"JALAN KAPAR, KLANG          ",PROTON,2019,72,0.0392," RM96,001 - RM120,000",95000
SILIBIN BRANCH,PERODUA,2019,84,0.0477," RM72,001 - RM96,000",28000
SEKINCHAN BRANCH,PROTON,2019,60,0.045," RM24,001 - RM48,000",38500
PUCHONG JAYA,MAZDA,2019,60,0.0374," Above RM120,000    ",150000
SS2 PJ,MAZDA,2019,108,0.0393," Above RM120,000    ",138000
BATU PAHAT BRANCH,PERODUA,2019,84,0.0413," RM72,001 - RM96,000",70000
BATU BERENDAM,MAZDA,2019,108,0.0413," RM96,001 - RM120,000",130000
PUCHONG JAYA,PERODUA,2019,108,0.048," RM24,001 - RM48,000",50200
UPPER LANANG,PERODUA,2019,108,0.0469," RM24,001 - RM48,000",40000
SENAWANG,TOYOTA,2019,84,0.0402," Above RM120,000    ",75000
JELUTONG,PERODUA,2019,84,0.0449," RM18,001 - RM24,000",43000
SIBU,PROTON,2019,84,0.0392," RM9,000 And Below  ",90000
"AMAN SURIA, SELANGOR",SUBARU,2019,108,0.0387," RM72,001 - RM96,000",127700
SEREMBAN BRANCH,MERCEDES BENZ,2018,84,0.039," RM72,001 - RM96,000",190000
SEREMBAN 2,HONDA,2019,108,0.0395," RM72,001 - RM96,000",98000
"PORT KLANG, SELANGOR         ",PERODUA,2019,84,0.0421, Undisclosed        ,60000
TAMAN SRI TEBRAU,HONDA,2019,60,0.0382," RM96,001 - RM120,000",80000
KOTA KINABALU API API,ISUZU,2019,108,0.0389," RM48,001 - RM72,000",104500
PUCHONG JAYA,HONDA,2019,60,0.0404," Above RM120,000    ",40000
MELAKA TMR1,PERODUA,2019,108,0.0495," RM24,001 - RM48,000",32000
"DESA JAYA, KEPONG BRANCH",PROTON,2019,60,0.0465," RM72,001 - RM96,000",33000
BATU PAHAT BRANCH,HONDA,2019,60,0.0387," RM96,001 - RM120,000",100000
"JALAN KAPAR, KLANG          ",MAZDA,2019,108,0.0393," RM96,001 - RM120,000",122500
SS2 PJ,NISSAN,2019,108,0.04," RM24,001 - RM48,000",106000
"KAMUNTING, PERAK            ",PERODUA,2019,108,0.049," RM18,001 - RM24,000",44000
SETAPAK BRANCH,PERODUA,2019,108,0.047," RM18,001 - RM24,000",42000
TANJONG MALIM,HONDA,2019,60,0.0394," RM24,001 - RM48,000",59000
AMAN PURI,PERODUA,2019,84,0.0465," RM24,001 - RM48,000",41000
KL MAIN (EON BUILDING),PERODUA,2019,108,0.0468," RM72,001 - RM96,000",32000
BATU CAVES BRANCH,TOYOTA,2019,60,0.0385," RM96,001 - RM120,000",120000
PUCHONG JAYA,PROTON,2019,84,0.0447," RM72,001 - RM96,000",40600
ELECTRA HOUSE BRANCH,PERODUA,2019,108,0.048," RM24,001 - RM48,000",49000
TAWAU BRANCH,TOYOTA,2019,60,0.0385," RM96,001 - RM120,000",130000
TAIPING BRANCH,HONDA,2019,84,0.0389," RM48,001 - RM72,000",92000
"TAMAN UNIVERSITY, SKUDAI BRANCH",PERODUA,2019,60,0.0459," RM48,001 - RM72,000",44300
SIBU,PERODUA,2019,60,0.0468, Undisclosed        ,30000
TAMAN SRI TEBRAU,TOYOTA,2019,108,0.0401, Undisclosed        ,73700
"SEKSYEN 3, BANDAR SEMENYIH BRANCH",TOYOTA,2018,60,0.0395," Above RM120,000    ",102800
TANJONG MALIM,PERODUA,2019,36,0.0489," RM72,001 - RM96,000",35000
BENTONG BRANCH,PERODUA,2019,84,0.049, Undisclosed        ,20000
TAMAN SRI TEBRAU,HONDA,2019,36,0.0407," RM72,001 - RM96,000",69000
"T.NIAGA JAYA,BKT MERTAJAM   ",HONDA,2019,108,0.0403," RM72,001 - RM96,000",74400
"PUSAT DAGANGAN BAKRI,MUAR",PROTON,2019,108,0.0505," RM24,001 - RM48,000",46500
SS2 PJ,PERODUA,2019,108,0.0458, Undisclosed        ,49800
"JALAN KAPAR, KLANG          ",HONDA,2019,60,0.04, Undisclosed        ,50000
PUCHONG JAYA,MAZDA,2019,108,0.0388," RM96,001 - RM120,000",120000
PUCHONG JAYA,PERODUA,2019,60,0.0461, Undisclosed        ,35800
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0418," RM72,001 - RM96,000",72300
JELUTONG,NISSAN,2018,96,0.041," RM48,001 - RM72,000",67000
"TAMAN SEGAR, CHERAS BRANCH",PERODUA,2019,84,0.0452," RM12,001 - RM18,000",38000
SS2 PJ,PROTON,2019,60,0.0391," RM48,001 - RM72,000",80000
KEPONG BRANCH,PERODUA,2019,84,0.0403," RM96,001 - RM120,000",67000
PUCHONG JAYA,MERCEDES BENZ,2019,108,0.0394," RM72,001 - RM96,000",180000
PUCHONG JAYA,FORD,2019,108,0.0394," RM72,001 - RM96,000",122000
KULAI BRANCH,PERODUA,2019,108,0.0501," RM48,001 - RM72,000",46600
"JALAN BESERAH, KUANTAN   ",TOYOTA,2019,108,0.0395," RM48,001 - RM72,000",74300
SS2 PJ,TOYOTA,2019,36,0.041," RM72,001 - RM96,000",50000
TAMAN MIDAH,PROTON,2019,36,0.0444," RM48,001 - RM72,000",30000
"JALAN KAPAR, KLANG          ",HONDA,2019,36,0.0419," RM24,001 - RM48,000",50000
"JALAN BESERAH, KUANTAN   ",PROTON,2019,108,0.0484, Undisclosed        ,34600
PUCHONG JAYA,PERODUA,2019,108,0.0414," RM24,001 - RM48,000",72200
"JALAN BESERAH, KUANTAN   ",PROTON,2019,108,0.0492," RM18,001 - RM24,000",36000
MELAKA TMR1,HONDA,2019,108,0.0403," RM48,001 - RM72,000",80000
TAMAN SRI TEBRAU,TOYOTA,2019,108,0.0391," RM24,001 - RM48,000",78400
SS2 PJ,HONDA,2019,108,0.0392," RM72,001 - RM96,000",70800
LANGKAWI,TOYOTA,2019,60,0.04," RM24,001 - RM48,000",105000
"MENJALARA, KUALA LUMPUR",PERODUA,2019,60,0.046," RM24,001 - RM48,000",30000
LAHAD DATU,PROTON,2019,108,0.0492," RM24,001 - RM48,000",35000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0403," RM48,001 - RM72,000",60300
BIDOR BRANCH,PERODUA,2019,108,0.0421, Undisclosed        ,64000
SRI ANDALAS BRANCH,PERODUA,2019,84,0.0495," RM48,001 - RM72,000",41000
KLUANG BRANCH,PROTON,2019,72,0.0402," RM48,001 - RM72,000",60000
TAMAN SRI TEBRAU,TOYOTA,2019,84,0.0396," RM24,001 - RM48,000",69500
SENAWANG,PROTON,2019,108,0.048," RM12,001 - RM18,000",35900
LANGKAP,PROTON,2019,108,0.0493," RM24,001 - RM48,000",31000
PONTIAN,PERODUA,2019,60,0.0415, Undisclosed        ,50000
SS2 PJ,MAZDA,2019,60,0.0371," RM48,001 - RM72,000",80000
PUCHONG JAYA,TOYOTA,2019,108,0.0392," RM24,001 - RM48,000",74400
"KOMPLEKS MUNSHI ABDULLAH, MELAKA BRANCH",KIA,2018,108,0.0411," RM9,000 And Below  ",58500
BATU PAHAT BRANCH,TOYOTA,2019,60,0.04, Undisclosed        ,50000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2018,108,0.049," RM24,001 - RM48,000",39000
"TAMAN SUNTEX, CHERAS",PERODUA,2019,60,0.0459," RM24,001 - RM48,000",38000
BATU PAHAT BRANCH,PROTON,2019,36,0.0395," Above RM120,000    ",100000
BINTULU BRANCH,PERODUA,2019,108,0.0419," Above RM120,000    ",73200
KUCHING RH PLAZA,FORD,2019,108,0.0385," Above RM120,000    ",186000
"JLN SULTAN BADLISHAH, ALOR SETAR BRANCH",PERODUA,2019,60,0.0441," RM48,001 - RM72,000",47000
USJ,VOLKSWAGEN,2019,108,0.0387," RM96,001 - RM120,000",143000
RAUB BRANCH,PERODUA,2019,84,0.0475," RM48,001 - RM72,000",38900
"JALAN KAPAR, KLANG          ",PERODUA,2019,84,0.0448," RM24,001 - RM48,000",46700
"PORT KLANG, SELANGOR         ",PERODUA,2019,96,0.0426," RM72,001 - RM96,000",50000
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.0395," RM48,001 - RM72,000",66200
TAMAN SRI TEBRAU,PROTON,2019,84,0.0393," Above RM120,000    ",110000
AYER TAWAR,PROTON,2019,108,0.048," RM24,001 - RM48,000",34000
BINTANGOR BRANCH,TOYOTA,2019,84,0.0399," RM48,001 - RM72,000",70000
PONTIAN,HONDA,2019,60,0.0402, Undisclosed        ,40000
TAMAN SRI TEBRAU,PROTON,2019,36,0.0483," Above RM120,000    ",34900
PUCHONG JAYA,MAZDA,2019,84,0.039," RM72,001 - RM96,000",112000
TAMAN SRI TEBRAU,PROTON,2019,108,0.048," RM48,001 - RM72,000",47000
"J.SONG THIAN CHEOK,KUCHING       ",MAZDA,2019,84,0.0381," RM24,001 - RM48,000",144400
SS2 PJ,NISSAN,2019,108,0.0399," RM72,001 - RM96,000",127700
BATU PAHAT BRANCH,HONDA,2019,108,0.0405," RM72,001 - RM96,000",84000
RAUB BRANCH,PERODUA,2019,108,0.046," RM48,001 - RM72,000",46700
"PUSAT DAGANGAN BAKRI,MUAR",HONDA,2019,84,0.0384," RM96,001 - RM120,000",90000
DUNGUN BRANCH,HONDA,2019,108,0.0412," RM24,001 - RM48,000",68000
SEREMBAN 2,SUBARU,2019,84,0.0382," RM72,001 - RM96,000",110000
TANJUNG SEPAT BRANCH,PERODUA,2019,36,0.0477," RM24,001 - RM48,000",34000
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,84,0.0456," RM24,001 - RM48,000",32900
RAUB BRANCH,PERODUA,2019,60,0.0466," RM24,001 - RM48,000",26300
TAMAN SRI RAMPAI BRANCH,PERODUA,2019,60,0.0465," RM72,001 - RM96,000",51500
"JALAN KAPAR, KLANG          ",PERODUA,2019,84,0.0457," RM24,001 - RM48,000",36800
"JALIL LINK, BUKIT JALIL",KIA,2019,108,0.0409," RM96,001 - RM120,000",49000
PUCHONG JAYA,BMW,2019,108,0.039," Above RM120,000    ",330600
KEMAMAN BRANCH,MAZDA,2018,108,0.0406," RM24,001 - RM48,000",110000
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2019,108,0.0393," RM72,001 - RM96,000",113800
SIBU,PERODUA,2019,108,0.0491, Undisclosed        ,37000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",HONDA,2019,84,0.0397," RM72,001 - RM96,000",65000
"JLN PASIR PUTEH, IPOH BRANCH",PERODUA,2019,84,0.0408," RM48,001 - RM72,000",65000
TELUK INTAN BRANCH,PROTON,2019,60,0.046," RM96,001 - RM120,000",30000
KUCHING RH PLAZA,LEXUS,2018,108,0.0385," Above RM120,000    ",200000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0401," RM48,001 - RM72,000",100100
TAMAN SRI TEBRAU,MAZDA,2019,108,0.0398," RM72,001 - RM96,000",140000
KOTA KINABALU API API,PROTON,2019,108,0.0402," RM48,001 - RM72,000",114000
KL MAIN (EON BUILDING),PERODUA,2019,108,0.0421," RM48,001 - RM72,000",60000
SS2 PJ,MAZDA,2019,84,0.0387," RM72,001 - RM96,000",121000
SEREMBAN 2,PERODUA,2019,60,0.0446, Undisclosed        ,40000
"HUMPHREY STREET, SANDAKAN BRANCH",PROTON,2019,108,0.0474," RM48,001 - RM72,000",33000
PUCHONG JAYA,PROTON,2019,84,0.0391," Above RM120,000    ",100000
"TMN KULAI UTAMA, JB ",PROTON,2019,60,0.0466," RM48,001 - RM72,000",29500
"JALAN KAPAR, KLANG          ",PERODUA,2019,84,0.049," RM72,001 - RM96,000",32000
PUCHONG JAYA,PERODUA,2019,60,0.041," RM96,001 - RM120,000",60000
"J.SONG THIAN CHEOK,KUCHING       ",PROTON,2019,108,0.0399," RM24,001 - RM48,000",95000
"JALAN KAPAR, KLANG          ",PERODUA,2019,84,0.0481," RM24,001 - RM48,000",20000
"JALAN KAPAR, KLANG          ",PROTON,2019,108,0.0473," RM48,001 - RM72,000",47900
KL MAIN (EON BUILDING),PERODUA,2019,60,0.0441," RM48,001 - RM72,000",46700
KL MAIN (EON BUILDING),MAZDA,2018,108,0.0405," RM96,001 - RM120,000",122700
"TAMAN SEGAR, CHERAS BRANCH",PERODUA,2019,60,0.0407," Above RM120,000    ",72300
"CHENG, MELAKA",PERODUA,2019,108,0.0461," RM24,001 - RM48,000",48800
BINTULU BRANCH,HONDA,2019,108,0.0405," RM24,001 - RM48,000",66100
TAMAN SRI TEBRAU,PROTON,2018,84,0.0396," RM72,001 - RM96,000",70000
KOTA KENMUNING,VOLVO,2019,84,0.0388," RM24,001 - RM48,000",150000
AMAN PURI,PROTON,2019,108,0.0482," RM24,001 - RM48,000",33100
SELAYANG BRANCH,VOLVO,2019,96,0.0383," RM24,001 - RM48,000",280000
BATU PAHAT BRANCH,SUBARU,2019,108,0.0389," RM24,001 - RM48,000",100000
KLUANG BRANCH,HONDA,2019,84,0.0396," RM48,001 - RM72,000",66000
PENANG BRANCH,HONDA,2019,108,0.04," RM24,001 - RM48,000",59000
PONTIAN,TOYOTA,2019,108,0.0393," RM24,001 - RM48,000",67000
KOTA KINABALU API API,PROTON,2019,108,0.0492," RM24,001 - RM48,000",36000
TAMAN SRI TEBRAU,PROTON,2019,108,0.048," RM24,001 - RM48,000",35500
KUALA SELANGOR BRANCH,TOYOTA,2019,60,0.0395, Undisclosed        ,50000
KULAI BRANCH,PROTON,2019,60,0.0449," Above RM120,000    ",40000
"JALAN GENUANG, SEGAMAT   ",PROTON,2019,108,0.0485," RM12,001 - RM18,000",34000
KOTA KINABALU API API,PERODUA,2019,108,0.0487," RM24,001 - RM48,000",44000
KOTA KINABALU API API,SUBARU,2019,108,0.039," RM72,001 - RM96,000",117500
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",HONDA,2019,108,0.0404," RM48,001 - RM72,000",68000
"JALAN GENUANG, SEGAMAT   ",PERODUA,2019,108,0.0495," RM24,001 - RM48,000",46500
BINTULU BRANCH,HONDA,2019,108,0.0405, Undisclosed        ,70000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0492," RM24,001 - RM48,000",35400
TAMAN SRI TEBRAU,TOYOTA,2019,48,0.0412," RM96,001 - RM120,000",35000
SATOK BRANCH,PERODUA,2019,108,0.05," RM18,001 - RM24,000",20000
TELUK PULAI BRANCH,PERODUA,2019,84,0.047," RM18,001 - RM24,000",33000
KUANTAN BRANCH,PERODUA,2019,108,0.0505," RM18,001 - RM24,000",23000
KROKOP ,TOYOTA,2019,108,0.0394," RM48,001 - RM72,000",111000
PUCHONG JAYA,MERCEDES BENZ,2018,60,0.0381," Above RM120,000    ",200000
SUNGAI BAKAP,PERODUA,2019,108,0.046," RM24,001 - RM48,000",44600
PUCHONG JAYA,PERODUA,2019,72,0.0455," RM24,001 - RM48,000",46000
TAIPING BRANCH,PERODUA,2019,36,0.0545, Undisclosed        ,20000
"PUSAT DAGANGAN BAKRI,MUAR",NISSAN,2019,108,0.039," RM24,001 - RM48,000",93400
LANGKAWI,TOYOTA,2019,108,0.0408," RM24,001 - RM48,000",65000
"PUSAT DAGANGAN BAKRI,MUAR",HONDA,2019,108,0.0399," RM24,001 - RM48,000",66800
BANDAR BARU AMPANG BRANCH,HYUNDAI,2019,108,0.0398," RM48,001 - RM72,000",141000
YONG PENG BRANCH,PROTON,2019,60,0.0388," RM96,001 - RM120,000",100000
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,24,0.0541, Undisclosed        ,28000
LUKUT,TOYOTA,2019,60,0.042," Above RM120,000    ",30000
PUCHONG BRANCH,VOLKSWAGEN,2019,108,0.0414, Undisclosed        ,54000
MELAKA TMR1,PERODUA,2019,108,0.047," RM48,001 - RM72,000",32000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0492," RM24,001 - RM48,000",33000
KOTA KINABALU API API,TOYOTA,2019,108,0.04," RM72,001 - RM96,000",132800
KOTA KINABALU API API,ISUZU,2019,108,0.0407," RM72,001 - RM96,000",112000
KOTA KENMUNING,HONDA,2019,108,0.0401," RM24,001 - RM48,000",103500
TELUK INTAN BRANCH,PERODUA,2019,60,0.0471," RM24,001 - RM48,000",24000
KOTA KINABALU API API,PROTON,2019,108,0.0488," RM24,001 - RM48,000",37000
AYER TAWAR,NISSAN,2019,108,0.04," RM96,001 - RM120,000",134000
SATOK BRANCH,PERODUA,2019,108,0.0478," RM24,001 - RM48,000",51800
TAMAN SRI TEBRAU,PROTON,2019,108,0.0478," RM24,001 - RM48,000",39000
KUCHING RH PLAZA,TOYOTA,2019,84,0.0388," RM72,001 - RM96,000",146000
SEREMBAN BRANCH,PERODUA,2019,24,0.0528," RM48,001 - RM72,000",30000
"MENJALARA, KUALA LUMPUR",PERODUA,2019,60,0.0449," RM72,001 - RM96,000",40000
KOTA BHARU 1,PROTON,2019,108,0.048," RM18,001 - RM24,000",33200
MASAI,HONDA,2019,108,0.0399," RM48,001 - RM72,000",120000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0393," RM72,001 - RM96,000",67400
TAMAN MIDAH,MITSUBISHI,2019,84,0.039," RM72,001 - RM96,000",90000
LINTAS BRANCH,PERODUA,2019,108,0.0475," RM18,001 - RM24,000",33000
KOTA KINABALU API API,PERODUA,2018,108,0.049," RM12,001 - RM18,000",34700
TAMAN MIDAH,MITSUBISHI,2019,108,0.0397," RM48,001 - RM72,000",73000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0406," RM96,001 - RM120,000",63000
MELAKA BRANCH,PERODUA,2019,60,0.0484," RM48,001 - RM72,000",26000
"JALAN BESERAH, KUANTAN   ",PROTON,2019,108,0.0473," RM24,001 - RM48,000",47900
"JLN BESAR,MENGLEMBU,PERAK   ",PROTON,2019,36,0.0397," RM24,001 - RM48,000",100000
KOTA KINABALU API API,ISUZU,2019,108,0.0407," RM72,001 - RM96,000",114000
KL MAIN (EON BUILDING),PROTON,2019,108,0.051," RM24,001 - RM48,000",36100
SETAPAK BRANCH,NISSAN,2019,84,0.0381," RM72,001 - RM96,000",120000
IPOH BRANCH,PERODUA,2019,60,0.0421," RM24,001 - RM48,000",31000
"TAMAN SENTOSA, KLANG BRANCH",PERODUA,2019,108,0.0501," RM24,001 - RM48,000",35000
PUCHONG JAYA,PERODUA,2019,84,0.0466," RM24,001 - RM48,000",40000
KEPONG BRANCH,PERODUA,2019,60,0.046," Above RM120,000    ",40000
BRIEKFIELDS,PROTON,2019,108,0.0398," RM24,001 - RM48,000",100000
TAMAN SRI TEBRAU,FORD,2019,96,0.0399," RM48,001 - RM72,000",115000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,108,0.0466," RM18,001 - RM24,000",30700
SS2 PJ,HONDA,2019,108,0.0406," RM24,001 - RM48,000",73000
PUCHONG JAYA,PERODUA,2019,84,0.0451," RM96,001 - RM120,000",40900
KL MAIN (EON BUILDING),VOLKSWAGEN,2019,108,0.0391," Above RM120,000    ",68000
KL MAIN (EON BUILDING),HYUNDAI,2019,108,0.0387," RM72,001 - RM96,000",105000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0472," RM24,001 - RM48,000",39000
KL MAIN (EON BUILDING),PERODUA,2019,84,0.0452," RM72,001 - RM96,000",39000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0395," RM96,001 - RM120,000",100000
SS2 PJ,MAZDA,2019,84,0.0386," Above RM120,000    ",125000
"PUSAT DAGANGAN BAKRI,MUAR",PROTON,2019,60,0.0391," RM18,001 - RM24,000",80000
SS2 PJ,NISSAN,2019,108,0.0396," RM24,001 - RM48,000",64700
JALAN KUCHAI LAMA BRANCH,BMW,2019,108,0.0395," Above RM120,000    ",268000
TAMAN SRI TEBRAU,NISSAN,2018,108,0.0408," RM48,001 - RM72,000",79000
SS2 PJ,TOYOTA,2019,60,0.0391," RM72,001 - RM96,000",66000
MELAKA TMR1,HONDA,2019,60,0.0401," RM72,001 - RM96,000",50000
KOTA KINABALU API API,PERODUA,2019,108,0.0485," RM24,001 - RM48,000",52000
SERENDAH,PERODUA,2019,84,0.047," RM12,001 - RM18,000",25000
SS2 PJ,NISSAN,2019,84,0.0384," RM24,001 - RM48,000",115000
PUCHONG JAYA,SUBARU,2018,108,0.0403," RM48,001 - RM72,000",100000
BATU GAJAH BRANCH,MAZDA,2019,84,0.0392," RM24,001 - RM48,000",130000
TAMAN SRI TEBRAU,FORD,2019,108,0.04," RM72,001 - RM96,000",116100
"J.SONG THIAN CHEOK,KUCHING       ",PERODUA,2019,108,0.0488," RM24,001 - RM48,000",36400
KL MAIN (EON BUILDING),PERODUA,2019,84,0.0465," RM24,001 - RM48,000",41300
BATU PAHAT BRANCH,PROTON,2019,108,0.0479," RM24,001 - RM48,000",37500
TAMAN MALURI BRANCH,HONDA,2019,108,0.0403," RM24,001 - RM48,000",111000
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.0407," RM24,001 - RM48,000",70000
"DATARAN SUNWAY, SELANGOR    ",HONDA,2019,84,0.038," RM72,001 - RM96,000",116000
USJ,HONDA,2019,36,0.0444," RM9,000 And Below  ",30000
SS2 PJ,TOYOTA,2019,84,0.039," Above RM120,000    ",70000
BATU PAHAT BRANCH,PROTON,2019,60,0.039," RM24,001 - RM48,000",84000
PUCHONG JAYA,HONDA,2019,108,0.0389," Above RM120,000    ",106200
"JALAN BESERAH, KUANTAN   ",PERODUA,2019,108,0.0461," RM24,001 - RM48,000",50200
SIBU,PERODUA,2019,108,0.0461," RM12,001 - RM18,000",52000
"JLN PASIR PUTEH, IPOH BRANCH",PERODUA,2019,108,0.0419," RM72,001 - RM96,000",71000
PUCHONG JAYA,HONDA,2019,60,0.039," RM72,001 - RM96,000",107000
TAMAN SRI TEBRAU,MAZDA,2019,84,0.0392," RM72,001 - RM96,000",76000
KOTA KINABALU API API,PERODUA,2019,108,0.0495," RM24,001 - RM48,000",34700
KL MAIN (EON BUILDING),VOLKSWAGEN,2018,108,0.0398," Above RM120,000    ",148100
SITIAWAN BRANCH,PROTON,2019,60,0.0379," RM48,001 - RM72,000",100000
KEPONG BRANCH,PERODUA,2019,84,0.0458," RM24,001 - RM48,000",50200
BATU PAHAT BRANCH,PERODUA,2019,60,0.0459," Above RM120,000    ",38300
KLANG BRANCH,PERODUA,2018,108,0.0485," RM18,001 - RM24,000",45800
GUNUNG RAPAT,PROTON,2019,84,0.045," RM24,001 - RM48,000",50000
TAMAN SRI TEBRAU,PERODUA,2019,36,0.0518," RM72,001 - RM96,000",20000
KOTA KINABALU API API,PERODUA,2019,108,0.0498," RM24,001 - RM48,000",41000
USJ,HONDA,2019,60,0.0396," RM72,001 - RM96,000",60000
KOTA KINABALU API API,HONDA,2019,84,0.0399," RM24,001 - RM48,000",94000
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,108,0.048," RM18,001 - RM24,000",38900
"JALAN BESERAH, KUANTAN   ",NISSAN,2019,108,0.0415," RM18,001 - RM24,000",65200
SS2 PJ,HONDA,2018,108,0.041," RM24,001 - RM48,000",71800
PARAMOUNT GARDEN BRANCH,MAZDA,2019,108,0.0393," RM48,001 - RM72,000",125000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0484," RM72,001 - RM96,000",42200
KUCHING RH PLAZA,PERODUA,2019,84,0.0413," RM96,001 - RM120,000",73600
PANDAN JAYA,HONDA,2019,108,0.0392," RM24,001 - RM48,000",74500
JALAN KELANG LAMA BRANCH,NISSAN,2019,84,0.0389," Above RM120,000    ",131000
"PORT KLANG, SELANGOR         ",PERODUA,2019,108,0.0485," RM72,001 - RM96,000",36000
"PUSAT DAGANGAN BAKRI,MUAR",MERCEDES BENZ,2019,108,0.0391," RM72,001 - RM96,000",200000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0394," Above RM120,000    ",77400
BATU PAHAT BRANCH,PROTON,2019,84,0.0399," RM24,001 - RM48,000",65000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,108,0.0485," RM12,001 - RM18,000",46000
MELAKA TMR1,PERODUA,2019,96,0.0465," RM24,001 - RM48,000",44700
BATU BERENDAM,PROTON,2019,60,0.0442," RM24,001 - RM48,000",49000
KOTA KINABALU API API,TOYOTA,2019,36,0.0416," RM72,001 - RM96,000",50000
TAMAN SRI TEBRAU,TOYOTA,2019,60,0.0399," RM24,001 - RM48,000",40000
KL MAIN (EON BUILDING),BMW,2019,84,0.0377," Above RM120,000    ",230000
KUCHING RH PLAZA,PERODUA,2019,84,0.0452," RM24,001 - RM48,000",40000
SS2 PJ,MAZDA,2019,84,0.0382," RM72,001 - RM96,000",159000
KL MAIN (EON BUILDING),PROTON,2019,108,0.0465," RM96,001 - RM120,000",31500
TELUK INTAN BRANCH,HONDA,2019,108,0.0404," RM72,001 - RM96,000",97800
LANGKAP,TOYOTA,2019,60,0.0403," RM24,001 - RM48,000",50000
BATU PAHAT BRANCH,HONDA,2019,84,0.0389," RM48,001 - RM72,000",94000
"JALAN KAPAR, KLANG          ",NISSAN,2019,108,0.0388," RM48,001 - RM72,000",113800
